Date,Open,High,Low,Close,Volume,MarketCap
"Sep 07, 2021",3926.53,3945.31,3062.22,3426.39,39131346397,402365928843
"Sep 06, 2021",3951.52,3968.43,3868.99,3928.38,18674691198,461261434464
"Sep 05, 2021",3886.33,3979.19,3838.49,3952.13,18371468576,463997267858
"Sep 04, 2021",3937.91,3969.45,3837.93,3887.83,20806963328,456394981337
"Sep 03, 2021",3787.49,4022.47,3712.68,3940.61,26207765094,462538485147
"Sep 02, 2021",3825.03,3830.71,3726.75,3790.99,24387397330,444924932307
"Sep 01, 2021",3430.76,3836.87,3387.41,3834.83,30070890104,450017458312
"Aug 31, 2021",3227.76,3466.99,3195.22,3433.73,27280502987,402902770210
"Aug 30, 2021",3227.19,3346.58,3151.44,3224.37,19306924485,378293803192
"Aug 29, 2021",3246.77,3283.24,3158.84,3227,13296586731,378558550046
"Aug 28, 2021",3275.1,3284.85,3217.4,3244.4,13709633698,380556000846
"Aug 27, 2021",3096.41,3281.84,3064.49,3270.6,18489602004,383584756115
"Aug 26, 2021",3228.75,3249.66,3060.23,3100.33,17405668117,363573005236
"Aug 25, 2021",3174.27,3248.73,3086.11,3224.92,18902728235,378139623273
"Aug 24, 2021",3324.86,3358.69,3154.12,3172.46,20131028906,371945926397
"Aug 23, 2021",3241.36,3373.38,3235.85,3319.26,20511110509,389112198985
"Aug 22, 2021",3226.23,3272.73,3142.01,3242.12,15983278460,380025418317
"Aug 21, 2021",3286.93,3307.35,3209.87,3226.08,18113977628,378102594336
"Aug 20, 2021",3182.16,3298.25,3178.1,3286.94,20885619828,385190199131
"Aug 19, 2021",3019.13,3184.44,2963.15,3182.7,19546290360,372932559773
"Aug 18, 2021",3011.96,3124.98,2959.03,3020.09,21539248425,353837223420
"Aug 17, 2021",3149.38,3288.81,2996.47,3014.85,25509056745,353182540849
"Aug 16, 2021",3309.42,3333.99,3139.78,3156.51,23080039949,369734989544
"Aug 15, 2021",3266.28,3320.08,3117.79,3310.5,22166205051,387728432650
"Aug 14, 2021",3322.76,3329.28,3214.52,3265.44,19860862133,382406961576
